datetime,open,high,low,close,trades
2025-02-27 13:31:00,594.7,594.947,594.6431,594.87,1164
2025-02-27 13:32:00,594.7007,594.95,594.6666,594.84,855
2025-02-27 13:33:00,594.83,594.91,594.55,594.69,782
2025-02-27 13:34:00,594.665,594.93,594.661,594.88,735
2025-02-27 13:35:00,594.87,594.92,594.64,594.82,901
2025-02-27 13:36:00,594.82,594.96,594.64,594.77,769
2025-02-27 13:37:00,594.76,594.8278,594.43,594.6099,812
2025-02-27 13:38:00,594.6,594.7627,594.55,594.6988,689
2025-02-27 13:39:00,594.68,594.89,594.6416,594.86,756
2025-02-27 13:40:00,594.8512,594.95,594.7069,594.82,742
2025-02-27 13:41:00,594.84,594.88,594.39,594.648,1184
2025-02-27 13:42:00,594.63,594.714,594.5354,594.6652,705
2025-02-27 13:43:00,594.66,594.7041,594.15,594.588,1238
2025-02-27 13:44:00,594.21,594.5819,594.19,594.36,848
2025-02-27 13:45:00,594.37,594.5296,593.94,594.26,1143
2025-02-27 13:46:00,594.4352,594.5242,594.16,594.261,846
2025-02-27 13:47:00,594.265,594.44,594.2,594.43,817
2025-02-27 13:48:00,594.44,594.49,594.2711,594.47,743
2025-02-27 13:49:00,594.48,594.53,594.2926,594.42,669
2025-02-27 13:50:00,594.45,594.45,593.87,593.98,1003
2025-02-27 13:51:00,593.97,594.3307,593.83,594.22,910
2025-02-27 13:52:00,594.22,594.37,594.0503,594.37,767
2025-02-27 13:53:00,594.36,594.55,594.1712,594.51,1000
2025-02-27 13:54:00,594.5,594.58,594.2403,594.5614,1005
2025-02-27 13:55:00,594.58,594.71,594.3027,594.4001,1478
2025-02-27 13:56:00,594.43,594.62,594.38,594.53,796
2025-02-27 13:57:00,594.56,594.63,594.39,594.51,937
2025-02-27 13:58:00,594.51,594.5198,594.26,594.4077,774
2025-02-27 13:59:00,594.29,594.4935,593.63,593.74,1226
2025-02-27 14:00:00,593.72,594.3255,593.22,593.45,1431
2025-02-27 14:01:00,593.46,594.0094,593.4,593.67,1406
2025-02-27 14:02:00,593.69,593.85,593.49,593.6888,930
2025-02-27 14:03:00,593.68,593.7464,593.51,593.609,848
2025-02-27 14:04:00,593.5916,594.0388,593.39,593.57,1143
2025-02-27 14:05:00,593.56,593.57,593.22,593.405,1110
2025-02-27 14:06:00,593.39,593.7665,593.1237,593.26,1056
2025-02-27 14:07:00,593.26,593.6334,593.22,593.52,1156
2025-02-27 14:08:00,593.52,593.61,593.21,593.27,965
2025-02-27 14:09:00,593.27,593.4004,593.05,593.25,880
2025-02-27 14:10:00,593.25,593.4454,593.16,593.27,1206
2025-02-27 14:11:00,593.269,593.3147,592.9001,593.02,1587
2025-02-27 14:12:00,593.02,593.2933,592.8444,592.88,799
2025-02-27 14:13:00,593.007,593.1234,592.621,592.69,936
2025-02-27 14:14:00,592.71,593.0589,592.43,592.54,1239
2025-02-27 14:15:00,592.54,594.2447,592.27,592.3386,1371
2025-02-27 14:16:00,592.33,592.9609,592.1101,592.22,1317
2025-02-27 14:17:00,592.24,592.5345,591.89,592.1137,1917
2025-02-27 14:18:00,592.13,592.6914,592.05,592.37,1583
2025-02-27 14:19:00,592.3786,592.6373,592.2579,592.53,1482
2025-02-27 14:20:00,592.52,592.71,592.28,592.71,1730
2025-02-27 14:21:00,592.7,592.73,592.34,592.37,1518
2025-02-27 14:22:00,592.37,592.5258,592.07,592.27,1577
2025-02-27 14:23:00,592.27,592.4071,591.99,592.0384,1410
2025-02-27 14:24:00,592.04,592.3602,591.52,591.7,1657
2025-02-27 14:25:00,591.71,592.2095,591.42,591.65,1532
2025-02-27 14:26:00,591.63,591.9616,591.38,591.415,1171
2025-02-27 14:27:00,591.41,591.8557,591.13,591.2,1774
2025-02-27 14:28:00,591.195,591.5617,591.03,591.14,1692
2025-02-27 14:29:00,591.16,591.8805,590.67,590.76,2461
2025-02-27 14:30:00,590.77,591.6908,590.07,590.2237,2706
2025-02-27 14:31:00,590.22,591.2375,590.1,590.17,1642
2025-02-27 14:32:00,590.18,590.8561,589.39,589.47,5163
2025-02-27 14:33:00,589.47,590.3501,589.03,589.1325,3123
2025-02-27 14:34:00,589.1496,589.9418,588.78,589.35,3949
2025-02-27 14:35:00,589.36,590.1129,589.1455,589.94,4157
2025-02-27 14:36:00,589.9401,589.9699,589.31,589.46,2352
2025-02-27 14:37:00,589.46,589.79,589.35,589.58,1430
2025-02-27 14:38:00,589.58,589.88,589.4432,589.81,1992
2025-02-27 14:39:00,589.83,589.88,589.31,589.47,2142
2025-02-27 14:40:00,589.4888,589.6699,588.96,588.9852,1789
2025-02-27 14:41:00,588.96,589.4316,588.48,588.6488,3304
2025-02-27 14:42:00,588.615,589.2972,588.33,588.41,2049
2025-02-27 14:43:00,588.9249,589.05,588.37,588.7,1956
2025-02-27 14:44:00,588.69,589.23,588.57,589.14,2417
2025-02-27 14:45:00,589.12,589.65,588.7611,589.57,2788
2025-02-27 14:46:00,589.575,589.67,588.8539,589.5,2262
2025-02-27 14:47:00,589.4907,589.76,589.006,589.61,1790
2025-02-27 14:48:00,589.6,589.61,588.86,588.8875,2003
2025-02-27 14:49:00,588.89,589.3416,588.76,589.13,1658
2025-02-27 14:50:00,589.12,589.37,588.76,589.05,1775
2025-02-27 14:51:00,589.08,589.62,589.03,589.57,2117
2025-02-27 14:52:00,589.57,589.94,589.1214,589.5112,2138
2025-02-27 14:53:00,589.5198,589.5826,588.96,589.04,1951
2025-02-27 14:54:00,589.07,589.6,589.01,589.48,1795
2025-02-27 14:55:00,589.49,589.75,589.3137,589.5,1427
2025-02-27 14:56:00,589.5299,589.9,589.39,589.65,1850
2025-02-27 14:57:00,589.635,589.655,589.17,589.22,1621
2025-02-27 14:58:00,589.22,589.6,589.1501,589.497,1707
2025-02-27 14:59:00,589.49,589.57,589.15,589.27,1478
2025-02-27 15:00:00,589.4854,589.4854,588.7,588.78,2064
2025-02-27 15:01:00,588.8099,589.3118,588.01,588.2399,3744
2025-02-27 15:02:00,588.24,589.0884,587.46,587.51,4421
2025-02-27 15:03:00,587.52,588.4165,587.26,587.309,3142
2025-02-27 15:04:00,587.31,588.5331,587.22,587.7665,2635
2025-02-27 15:05:00,587.77,588.3906,587.5418,587.71,2916
2025-02-27 15:06:00,587.68,587.92,587.5,587.56,2449
2025-02-27 15:07:00,587.55,588.1601,587.53,587.96,2694
2025-02-27 15:08:00,587.93,588.02,587.5,587.56,2701
2025-02-27 15:09:00,587.57,594.2447,587.43,587.59,1755
2025-02-27 15:10:00,587.59,587.8604,587.55,587.7,1860
2025-02-27 15:11:00,587.705,587.86,587.61,587.78,1732
2025-02-27 15:12:00,587.76,588.0,587.575,587.66,1749
2025-02-27 15:13:00,587.65,587.71,587.13,587.14,2209
2025-02-27 15:14:00,587.14,587.6547,586.73,587.31,3886
2025-02-27 15:15:00,587.325,587.59,586.81,586.81,2344
2025-02-27 15:16:00,586.8091,587.4329,586.75,586.87,1933
2025-02-27 15:17:00,586.8899,594.2447,586.76,586.9,2734
2025-02-27 15:18:00,586.8963,594.2447,586.69,586.81,2004
2025-02-27 15:19:00,586.825,587.1241,586.64,586.8088,2892
2025-02-27 15:20:00,586.79,587.0338,586.5,586.79,3215
2025-02-27 15:21:00,586.7789,587.36,586.76,587.25,3496
2025-02-27 15:22:00,587.23,587.97,586.9106,587.91,3026
2025-02-27 15:23:00,587.94,594.2447,587.0412,587.66,2375
2025-02-27 15:24:00,587.62,587.845677,587.1137,587.389,2122
2025-02-27 15:25:00,587.38,587.79,587.13,587.26,2335
2025-02-27 15:26:00,587.259,587.5146,587.15,587.35,2017
2025-02-27 15:27:00,587.35,587.6,587.009,587.39,1622
2025-02-27 15:28:00,587.42,587.59,586.74,586.81,2254
2025-02-27 15:29:00,586.81,587.3072,586.23,586.2901,2748
2025-02-27 15:30:00,586.31,587.1846,586.31,586.84,3247
2025-02-27 15:31:00,586.815,587.23,586.585,587.15,2385
2025-02-27 15:32:00,587.14,606.79,585.75,587.07,2096
2025-02-27 15:33:00,587.0798,587.3,586.8063,587.21,2001
2025-02-27 15:34:00,587.22,587.52,586.8508,587.01,2182
2025-02-27 15:35:00,586.99,594.2447,586.98,587.23,1885
2025-02-27 15:36:00,587.24,594.2447,586.982,587.19,1908
2025-02-27 15:37:00,587.19,587.57,586.983,587.03,2334
2025-02-27 15:38:00,587.04,587.32,586.95,586.975,1856
2025-02-27 15:39:00,586.96,587.2311,586.47,586.8931,2617
2025-02-27 15:40:00,587.034,588.627157,586.28,586.305,2615
2025-02-27 15:41:00,586.3186,594.2447,586.12,586.44,2852
2025-02-27 15:42:00,586.45,594.2447,586.03,586.0599,2666
2025-02-27 15:43:00,586.036854,594.2447,585.97,586.47,4340
2025-02-27 15:44:00,586.47,586.59,586.2094,586.27,2369
2025-02-27 15:45:00,586.26,594.2447,585.94,586.17,2640
2025-02-27 15:46:00,586.17,586.4231,585.86,586.05,3269
2025-02-27 15:47:00,586.03,594.2447,585.93,586.21,3279
2025-02-27 15:48:00,586.2175,594.2447,586.1279,586.63,3426
2025-02-27 15:49:00,586.6428,588.651063,586.228,586.58,3483
2025-02-27 15:50:00,586.6,586.8,586.09,586.51,5310
2025-02-27 15:51:00,586.52,588.279854,586.3099,586.78,3914
2025-02-27 15:52:00,586.78,586.8333,586.32,586.4,3501
2025-02-27 15:53:00,586.42,594.2447,586.22,586.26,3881
2025-02-27 15:54:00,586.26,594.2447,585.65,585.68,5137
2025-02-27 15:55:00,585.69,594.2447,585.25,585.26,6454
2025-02-27 15:56:00,585.28,586.0762,585.0,585.1287,7093
2025-02-27 15:57:00,585.12,594.2447,585.0,585.065,6621
2025-02-27 15:58:00,585.06,594.2447,584.94,584.9464,8659
2025-02-27 15:59:00,584.96,594.2447,584.65,585.04,13163
2025-02-27 16:00:00,585.045,594.2447,584.72,584.91,1823
2025-02-27 16:01:00,584.93,594.2447,584.71,585.17,654
2025-02-27 16:02:00,585.17,594.2447,585.0401,585.07,413
2025-02-27 16:03:00,585.09,585.32,585.09,585.2,369
2025-02-27 16:04:00,585.21,585.23,585.11,585.2296,266
2025-02-27 16:05:00,585.1912,585.205,585.02,585.06,431
2025-02-27 16:06:00,585.06,594.2447,584.8694,584.99,266
2025-02-27 16:07:00,584.98,585.07,584.89,584.99,285
2025-02-27 16:08:00,584.98,585.1,584.92,585.055,130
2025-02-27 16:09:00,585.06,590.852,585.06,585.115,276
2025-02-27 16:10:00,585.05,585.18,585.03,585.13,630
2025-02-27 16:11:00,585.1,585.1,584.91,584.91,538
2025-02-27 16:12:00,584.94,585.1,584.8243,585.04,341
2025-02-27 16:13:00,585.05,585.26,584.9819,585.0196,816
2025-02-27 16:14:00,585.0,585.3,584.99,585.2805,219
2025-02-27 16:15:00,585.24,586.245,585.05,585.23,203
2025-02-27 16:16:00,585.23,594.2447,585.18,585.45,335
2025-02-27 16:17:00,585.42,594.2447,584.8377,585.54,172
2025-02-27 16:18:00,585.51,585.83,585.5,585.83,318
2025-02-27 16:19:00,585.8,585.84,585.699,585.8,254
2025-02-27 16:20:00,585.8,585.81,585.1,585.595,165
2025-02-27 16:21:00,585.6096,594.2447,585.53,585.75,137
2025-02-27 16:22:00,585.73,585.79,585.65,585.67,133
2025-02-27 16:23:00,585.6609,585.805,585.66,585.805,103
2025-02-27 16:24:00,585.8,585.86,585.73,585.84,118
2025-02-27 16:25:00,585.84,585.85,585.73,585.75,222
2025-02-27 16:26:00,585.73,585.8798,585.73,585.8798,82
2025-02-27 16:27:00,585.855,585.88,585.63,585.78,302
2025-02-27 16:28:00,585.765,585.91,585.75,585.82,118
2025-02-27 16:29:00,585.83,585.83,585.05,585.73,83
2025-02-27 16:30:00,585.7,585.88,585.7,585.84,71
2025-02-27 16:31:00,585.86,585.86,585.765,585.81,55
